Asset Class,Issuer Name,Ticker,Cpn,Maturity,Conversion Ratio,CV Conversion Price,CV Stock Volatility
Preferreds,Completel Europe NV,CPTFP,11,#N/A Field Not Applicable,100,20.1,#N/A N/A
Preferreds,China For-Gen Corp,CHINFO,11,#N/A Field Not Applicable,1,0.91,40
Corporates,Nikola Corp,NKLA,11,31/05/2026,114.3602,8.744300902,134.1243508
Corporates,Immo-Bank AG,IMMOBK,10.99,16/01/2025,2,50,#N/A N/A
Corporates,E-World,CWOLAN,10.91,14/02/2049,3.577817531,2795,43.77318517
Preferreds,Wheeler Real Estate Investment Trust Inc,WHLR,10.75,#N/A Field Not Applicable,0.1474,169.6065129,222.6889532
Preferreds,Advanced Energy Recovery Inc,AVFI,10.5,#N/A Field Not Applicable,1,4,40
Corporates,Azul SA,AZUBBZ,10.5,26/10/2028,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A N/A
Preferreds,Canadian Pioneer Energy,CEQCN,10,#N/A Field Not Applicable,6.6,1.515151515,#N/A N/A
Preferreds,Interpharm Holdings Inc,IPAH,10,#N/A Field Not Applicable,0.2,50,40
Preferreds,Inter Cable Communications,ICCM,10,#N/A Field Not Applicable,4,2.5,#N/A N/A
Preferreds,News Communications Inc,NWCM,10,#N/A Field Not Applicable,1800,2.777777778,#N/A N/A
Preferreds,Southland Communications Inc,SCMU,10,#N/A Field Not Applicable,2.67,3.745318352,#N/A N/A
Preferreds,Tiregator Inc,TIREG,10,#N/A Field Not Applicable,1,5,#N/A N/A
Preferreds,Zenmac Zinc Ltd,ZMNCCN,10,#N/A Field Not Applicable,3,3.333333333,#N/A N/A
Preferreds,Zonne Investments,ZNI,10,#N/A Field Not Applicable,33.33,0.300030003,#N/A N/A
Preferreds,iSign Solutions Inc,ISGN,10,#N/A Field Not Applicable,66.66667,0.022499999,40
Preferreds,ICT Zone Asia Bhd,ICTZMK,10,21/01/2025,1,0.2,#N/A N/A
Preferreds,Esports Entertainment Group Inc,GMBL,10,15/11/2026,0.000014,714285.7143,150.4071582
Preferreds,US Dataworks Inc,UDWK,10,#N/A Field Not Applicable,1,3.75,#N/A N/A
Preferreds,Retractable Technologies Inc,RVP,10,#N/A Field Not Applicable,1,12.5,115.1233675
Preferreds,Environmental Tectonics Corp,ETCC,10,#N/A Field Not Applicable,500,2,158.1072792
Preferreds,Lattice Inc,LTTC,10,#N/A Field Not Applicable,21.73913,0.023,40
Preferreds,American Commerce Solutions Inc,AACS,10,#N/A Field Not Applicable,1000,3.6875,40
Preferreds,iSign Solutions Inc,ISGN,10,#N/A Field Not Applicable,25,0.06,40
Preferreds,IDO Security Inc,IDOI,10,#N/A Field Not Applicable,0.222000003,450.4504446,40
Preferreds,SteelCloud Inc,SCLD,10,#N/A Field Not Applicable,20,0.1,40
Preferreds,ProText Mobility Inc,TXTM,10,#N/A Field Not Applicable,0.125,72.72,236.9650954
Preferreds,MEDITE Cancer Diagnostics Inc,MDIT,10,#N/A Field Not Applicable,0.01,1000,40
Preferreds,First Physicians Capital Group Inc,FPCG,10,#N/A Field Not Applicable,3200,0.3125,40
Preferreds,New Leaf Brands Inc/NV,NLEF,10,#N/A Field Not Applicable,166666.6667,0.15,#N/A N/A
Preferreds,Broad Street Realty Inc,MAMP,10,#N/A Field Not Applicable,8.8889,11.24998594,40
Preferreds,Telenergy Communications Inc,TELCOM,10,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A N/A
Preferreds,MEDITE Cancer Diagnostics Inc,MDIT,10,#N/A Field Not Applicable,0.0275,800,40
Preferreds,Velocity Portfolio Group Inc,VPGI,10,#N/A Field Not Applicable,0.2,50,#N/A N/A
Preferreds,American Realty Investors Inc,ARL,10,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A N/A
Preferreds,Jesup & Lamont Inc,JLIC,10,#N/A Field Not Applicable,1470.59,0.679999184,#N/A N/A
Preferreds,Retractable Technologies Inc,RVP,10,#N/A Field Not Applicable,1,11,115.1233675
Preferreds,Retractable Technologies Inc,RVP,10,#N/A Field Not Applicable,1,12.5,115.1233675
Preferreds,Broad Street Realty Inc,MAMP,10,#N/A Field Not Applicable,10,10,40
Preferreds,Environmental Tectonics Corp,ETCC,10,#N/A Field Not Applicable,1063.82979,0.939999998,158.1072792
Preferreds,Navidea Biopharmaceuticals Inc,NAVB,10,#N/A Field Not Applicable,3226,0.309981401,153.789739
Preferreds,Yayi International Inc,YYIN,10,#N/A Field Not Applicable,10,0.98,40
Preferreds,MEDITE Cancer Diagnostics Inc,MDIT,10,#N/A Field Not Applicable,0.004,1000,40
Preferreds,MEDITE Cancer Diagnostics Inc,MDIT,10,#N/A Field Not Applicable,0.005,600,40
Preferreds,First Physicians Capital Group Inc,FPCG,10,#N/A Field Not Applicable,3200,0.3125,40
Preferreds,American Telephone + Data Inc,ATPL,10,#N/A Field Not Applicable,1,3,40
Preferreds,Interiors Inc,INRSA,10,#N/A Field Not Applicable,3,1.666666667,40
Preferreds,Commodore Separation Technologies Inc,CXOT,10,#N/A Field Not Applicable,1.66667,5.999988,#N/A N/A
Preferreds,Core Cap Inc,CORCAP,10,#N/A Field Not Applicable,1.14,21.92982456,#N/A N/A
Preferreds,Core Cap Inc,CORCAP,10,#N/A Field Not Applicable,1.14,21.92982456,40
Corporates,Medya Holding International Ltd,MEDYTI,10,28/06/2049,30.7882,2490.402167,#N/A N/A
Corporates,GDCI SA,TGLTSA,10,03/08/2027,2000,0.5,40
Corporates,Motorcar Parts of America Inc,MPAA,10,30/03/2029,66.6667,14.9999925,59.22508096
Corporates,China Ruifeng Renewable Energy Holdings Ltd,RUIFEN,10,28/04/2025,5555.555556,0.18,103.7766288
Corporates,Nireus Aquaculture SA,NIRGA,10,21/10/2025,54.80654907,0.251064886,#N/A N/A
Corporates,Gulfport Energy Corp,GPOR,10,#N/A Field Not Applicable,71.428571,14.00000008,92.80057196
Corporates,Taiga Motors Corp,TAIG,10,31/03/2028,307.692308,3.249999997,76.79185166
Corporates,Vingroup JSC,VICVN,10,13/11/2028,95164.1328,51635.00003,34.42336653
Corporates,NG Energy International Corp,GASXCN,10,30/11/2025,11.11,90.0090009,78.87809248
Corporates,Galantas Gold Corp,GALCN,10,20/12/2026,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A N/A
Corporates,Hyunjin Materials Co Ltd,HYUNJM,10,08/06/2028,2.81928,3547.004909,40
Corporates,Prophecy DeFi Inc,PDFICN,10,23/12/2024,1666.666667,0.6,561.5731594
Corporates,1933 Industries Inc,TGIFCN,10,31/12/2023,10000,0.1,339.6359362
Corporates,Hexagon Purus ASA,HEXNO,10,01/02/2029,0.079302141,12.61000003,63.6454516
Preferreds,Equitrans Midstream Corp,ETRN,9.75,#N/A Field Not Applicable,1,19.99,38.0927641
Preferreds,MF Global Holdings Ltd,MF,9.75,#N/A Field Not Applicable,9.5694,10.44997597,#N/A N/A
Preferreds,ION Media Networks Inc,IION,9.75,31/12/2026,625,16,40
Preferreds,ION Media Networks Inc,IION,9.75,31/12/2026,625,16,40
Preferreds,MPLX LP,MPLX,9.53846,#N/A Field Not Applicable,1,32.5,15.9788855
Preferreds,XDRIC Inc,TBUS,9.5,#N/A Field Not Applicable,2000,2.5,40
Preferreds,Pillarstone Capital REIT,PRLE,9.5,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A N/A
Preferreds,Plains All American Pipeline LP,PAA,9.375,#N/A Field Not Applicable,1,26.25,20.32141762
Corporates,Oatly Group AB,OTLY,9.25,14/09/2028,414.9,2.41021933,111.1951895
Preferreds,Watermarc Food Management Co,WAMA,9,#N/A Field Not Applicable,1.25,8,#N/A N/A
Preferreds,Kids Stuff Inc,KDST,9,#N/A Field Not Applicable,2,2.75,40
Preferreds,Kids Stuff Inc,KDST,9,#N/A Field Not Applicable,2,2.75,40
Preferreds,Wheeler Real Estate Investment Trust Inc,WHLR,9,#N/A Field Not Applicable,0.0625,400,222.6889532
Preferreds,WGNB Corp,WGNB,9,#N/A Field Not Applicable,1,8,#N/A N/A
Preferreds,MultiCell Technologies Inc,MCET,9,#N/A Field Not Applicable,312.5,0.32,#N/A N/A
Preferreds,Meritage Hospitality Group Inc,MHGU,9,#N/A Field Not Applicable,1.42857,7.000007,40
Preferreds,Environmental Power Corp,EPGR,9,#N/A Field Not Applicable,189.7173,0.277834441,40
Preferreds,mCloud Technologies Corp,MCLDCN,9,#N/A Field Not Applicable,25,1,1149.246185
Preferreds,Invacare Holdings Corp,IVCHLD,9,#N/A Field Not Applicable,14.5284,1.7207676,40
Preferreds,Invacare Holdings Corp,IVCHLD,9,#N/A Field Not Applicable,14.5284,1.7207676,40
Preferreds,ERA Group/United Kingdom,ERALN,9,#N/A Field Not Applicable,0.6667,1.499925004,#N/A N/A
Preferreds,General Datacomm Industries Inc,GNRD,9,#N/A Field Not Applicable,0.1832,136.4628821,#N/A N/A
Preferreds,EPR Properties,EPR,9,#N/A Field Not Applicable,0.4826,51.80273518,22.08254617
Corporates,Abivax SA,ABVXFP,9,31/03/2027,0.047123,21.22105978,63.85808527
Corporates,Abivax SA,ABVXFP,9,24/08/2027,4207.44381,23.7674,63.85808527
Corporates,NexGen Energy Ltd,NXECN,9,22/09/2028,147.925,6.760182525,61.26408768
Corporates,Segari Energy Ventures Sdn Bhd,SEGARI,9,18/01/2028,1000,1,#N/A N/A
Corporates,Tanjung Bin Power Sdn Bhd,TBPWMK,9,16/01/2032,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A N/A
Corporates,Segari Energy Ventures Sdn Bhd,SEGARI,9,18/01/2028,1000,1,#N/A N/A
Corporates,Tanjung Bin Power Sdn Bhd,TBPWMK,9,16/01/2032,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A N/A
Corporates,Forum Energy Technologies Inc,FET,9,04/08/2025,0.037037034,27.00000251,44.47082768
Corporates,Playmaker Capital Inc,PMKRCN,9,11/07/2026,1428.571429,0.91,52.30080886
Corporates,Slate Office REIT,SOTUCN,9,28/02/2026,181.8182,5.49999945,45.52950558
Corporates,TH International Ltd,THINTL,9,10/12/2026,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A N/A
Corporates,Electra Battery Materials Corp,ELBMCN,8.99,13/02/2028,403.214,2.480072617,128.5590442
Corporates,Hypo-Wohnbaubank AG,HYPOBK,8.86248,07/05/2024,1.399999976,71.42857264,#N/A N/A
Preferreds,Limoneira Co,LMNR,8.75,#N/A Field Not Applicable,12.5,8,58.44172248
Preferreds,South Jersey Industries Inc,SJI,8.75,01/04/2024,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A N/A
Corporates,Allied Gold Corp,AAUC,8.75,07/09/2028,172.71,5.790052689,40
Corporates,BPER Banca,BPEIM,8.75,#N/A Field Not Applicable,59523.80952,4.2,29.34395952
Corporates,Invesque Inc,IVQUCN,8.75,30/09/2026,93.45794,10.70000045,137.1650608
Corporates,Surge Energy Inc,SGYCN,8.5,31/12/2028,75.4717,13.24999967,34.80871866
Preferreds,NetCurrents Information Services Inc,NCIS,8.5,#N/A Field Not Applicable,0.1042,47.98464491,#N/A N/A
Preferreds,NetCurrents Information Services Inc,NCIS,8.5,#N/A Field Not Applicable,0.1042,47.98464491,#N/A N/A
Preferreds,UCBH Holdings Inc,UCBH,8.5,#N/A Field Not Applicable,236.1275,4.235000159,#N/A N/A
Corporates,Surge Energy Inc,SGYCN,8.5,31/12/2028,75.47099,13.25012432,34.80871866
Corporates,Daiyang Metal Co Ltd,DAIYAN,8.5,13/12/2025,2.667377967,3749.000001,#N/A N/A
Corporates,Orezone Gold Corp,ORECN,8.5,15/10/2026,925.925926,1.08,51.26710403
Corporates,Think Research Corp,THNK,8.5,10/05/2026,693.000693,1.443,98.68496274
Corporates,Chemtrade Logistics Income Fund,CHEUCN,8.5,30/09/2025,136.0544,7.350001176,28.03559875
Corporates,Baylin Technologies Inc,BYLCN,8.5,30/06/2026,1000,1,70.69554655
Corporates,BuzzFeed Inc,BZFD,8.5,03/12/2026,80,12.5,127.786087
Corporates,Mitsubishi UFJ Investor Services & Banking Luxembourg SA,MUFJIN,8.456,15/12/2050,324.35939,308.3000002,42.10987898
Preferreds,Banc of California Inc,BANC,8.4,#N/A Field Not Applicable,18.79699,5.320000702,40
Preferreds,Banc of California Inc,BANC,8.4,#N/A Field Not Applicable,18.79699,5.320000702,40
Corporates,Nikola Corp,NKLA,8.25,15/12/2026,1111.1111,0.900000009,139.920466
Corporates,BBK BSC,BBK,8.25,#N/A Field Not Applicable,2.5,0.4,#N/A N/A
Corporates,Petropavlovsk 2010 Ltd,POGLN,8.25,03/07/2024,1481481.481,0.106866,40
Corporates,Mitsubishi UFJ Investor Services & Banking Luxembourg SA,MUFJIN,8.215,30/12/2099,0.147617996,677424.1819,42.47326496
Preferreds,Cimarex Energy Co,XEC,8.125,#N/A Field Not Applicable,8.42579,118.6832333,40
Preferreds,Angstrom Technologies Inc,AGTT,8,#N/A Field Not Applicable,4,0.5,#N/A N/A
Preferreds,Cadema Corp,CIBM,8,#N/A Field Not Applicable,1.7857,2.8000224,#N/A N/A
Preferreds,Galton Biometrics Inc,GLTB,8,#N/A Field Not Applicable,0.008,625,40
Preferreds,Redify Group Inc,RDFY,8,#N/A Field Not Applicable,0.2,35,#N/A N/A
Preferreds,Ced-Or Corp,COQCN,8,#N/A Field Not Applicable,1,12,#N/A N/A
Preferreds,Vidikron Technologies Group Inc,VIDI,8,#N/A Field Not Applicable,1,5,#N/A N/A
Preferreds,Servtex International Inc,HYMX,8,#N/A Field Not Applicable,1,3,40
Preferreds,Spectrum Digital Corp,SPDG,8,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A N/A
Preferreds,Andalay Solar Inc,WEST,8,#N/A Field Not Applicable,1500,0.6,40
Preferreds,ATP Oil & Gas Corp/United States,ATPG,8,#N/A Field Not Applicable,4.5045,22.2000222,40
Preferreds,HKN Inc,HKNI,8,#N/A Field Not Applicable,8,12.5,40
Preferreds,HKN Inc,HKNI,8,#N/A Field Not Applicable,33.3333,3.000003,40
Preferreds,Texstar Holdings Inc,TSTH,8,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A N/A
Preferreds,Midway Gold Corp,MDWCN,8,#N/A Field Not Applicable,1,1.85,#N/A N/A
Preferreds,Federal International Holdings Bhd,FIHBMK,8,27/11/2026,0.13,0.769230769,#N/A N/A
Preferreds,Rosehill Resources Inc,ROSE,8,#N/A Field Not Applicable,86.95652,11.50000023,#N/A N/A
Preferreds,Federal International Holdings Bhd,FIHBMK,8,23/04/2028,0.2,0.5,#N/A N/A
Preferreds,Montfort Capital Corp,MONTCN,8,#N/A Field Not Applicable,1,1,106.3266577
Preferreds,Harbor Custom Development Inc,HCDI,8,#N/A Field Not Applicable,0.2778,89.99280058,#N/A N/A
Preferreds,One Communications Ltd,ONEBH,8,#N/A Field Not Applicable,1,10,#N/A N/A
Preferreds,Maxion Wheels USA LLC,HAYZ,8,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A N/A
Preferreds,ATP Oil & Gas Corp/United States,ATPG,8,#N/A Field Not Applicable,4.5045,22.2000222,40
Preferreds,CD International Enterprises Inc,CDII,8,#N/A Field Not Applicable,142.8571,7.0000021,#N/A N/A
Preferreds,LianDi Clean Technology Inc,LNDT,8,#N/A Field Not Applicable,1,3.5,40
Preferreds,Power Efficiency Corp,PEFF,8,#N/A Field Not Applicable,100,0.4,40
Preferreds,NeoMedia Technologies Inc,NEOM,8,#N/A Field Not Applicable,500,2,40
Preferreds,Juhl Energy Inc,JUHLD,8,#N/A Field Not Applicable,0.00012,10000,40
Preferreds,Cubic Energy Inc,CBNR,8,#N/A Field Not Applicable,83.33333,1.200000048,#N/A N/A
Preferreds,NewMarket Technology Inc,NWMT,8,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A N/A
Preferreds,Sun River Energy Inc,SNRV,8,#N/A Field Not Applicable,10,2,40
Preferreds,Ascent Solar Technologies Inc,ASTI,8,#N/A Field Not Applicable,0.00001,800000,164.8550282
Preferreds,Jason Industries Inc,JASN,8,#N/A Field Not Applicable,81.18,12.318305,#N/A N/A
Preferreds,Benguet Corp,BENG,8,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A N/A
Preferreds,Purple Communications Inc,PURCOM,8,#N/A Field Not Applicable,193.4236,0.0267289,40
Preferreds,NXXI Inc,NXXI,8,#N/A Field Not Applicable,822.5037,1.215800002,#N/A N/A
Preferreds,OPKO Health Inc,OPK,8,#N/A Field Not Applicable,10,2.61064,84.16463534
Preferreds,Retractable Technologies Inc,RVP,8,#N/A Field Not Applicable,4,1.1,#N/A N/A
Preferreds,Power Efficiency Corp,PEFF,8,#N/A Field Not Applicable,100,0.16,40
Preferreds,Onstream Media Corp,ONSM,8,#N/A Field Not Applicable,20,0.5,40
Preferreds,Strasbaugh Inc,STRB,8,#N/A Field Not Applicable,1,2.2,40
Preferreds,Telkonet Inc,TKOI,8,#N/A Field Not Applicable,13774.10468,0.363,226.5546818
Preferreds,Telkonet Inc,TKOI,8,#N/A Field Not Applicable,38461,0.13000182,226.5546818
Preferreds,SpectraScience Inc,SCIE,8,#N/A Field Not Applicable,1,0.2,40
Preferreds,NeoMedia Technologies Inc,NEOM,8,#N/A Field Not Applicable,5000,0.02,40
Preferreds,Skinny Nutritional Corp,SKNY,8,#N/A Field Not Applicable,1666.66667,0.06,#N/A N/A
Preferreds,Meritage Hospitality Group Inc,MHGU,8,#N/A Field Not Applicable,1.79533,5.570006628,40
Preferreds,Genterra Capital Inc,GICCN,8,#N/A Field Not Applicable,20,0.75,40
Preferreds,Jacobs Financial Group Inc,JFGI,8,#N/A Field Not Applicable,10000,0.1,40
Preferreds,Jacobs Financial Group Inc,JFGI,8,#N/A Field Not Applicable,1000,1,40
Preferreds,First Physicians Capital Group Inc,FPCG,8,#N/A Field Not Applicable,1,2.5,40
Preferreds,Onsite Energy Corp,ONSE,8,#N/A Field Not Applicable,1,1.5,40
Preferreds,Patriot Energy Corp/Houston TX,PGYC,8,#N/A Field Not Applicable,0.2021,4.948045522,40
Preferreds,cbdMD Inc,YCBD,8,#N/A Field Not Applicable,0.037044,269.9492495,119.2124716
Corporates,Sotkamo Silver AB,SOSISS,8,30/09/2026,114320,1.8260025,46.14710762
Corporates,NG Energy International Corp,GASXCN,8,20/05/2027,833.33,1.2000048,40
Corporates,Wildpack Beverage Inc,CANSCN,8,30/06/2025,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A N/A
Corporates,Leafly Holdings Inc,LFLY,8,31/01/2025,4,250,142.2784983
Corporates,Freshlocal Solutions Inc,LOCLCN,8,31/12/2024,526.32,1.8999848,40
Corporates,Aurum Strategic Ltd,ARTATF,8,30/05/2025,7421150.278,0.13475,89.09837171
Corporates,Celestial Solar Solutions Pvt Ltd,CELSOL,8,14/09/2026,10,10,40
Corporates,CAPITAL A BHD,AAGBMK,8,29/12/2028,1,0.75,37.57743799
Corporates,PRO Real Estate Investment Trust,PRV-U,8,30/06/2028,142.8571,7.0000021,22.77746378
Corporates,i-80 Gold Corp,IAUCN,8,22/02/2027,295.857988,3.380000002,50.82654634
Corporates,Hi-Crush Inc,HCR,8,09/04/2026,5.3934774,0.185409139,#N/A N/A
Corporates,Nikola Corp,NKLA,8,31/05/2026,674.4258,0.001482743,199.2661861
Corporates,Wildpack Beverage Inc,CANSCN,8,31/03/2026,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A N/A
Corporates,Contango ORE Inc,CTGO,8,29/04/2026,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A N/A
Corporates,CubicFarm Systems Corp,CUBCN,8,02/06/2027,1470.588235,0.68,251.9670858
Corporates,Vertex Resource Group Ltd,VTXCN,8,07/03/2027,1538.461538,0.65,72.00842885
Corporates,Xeris Biopharma Holdings Inc,XERS,8,15/07/2028,326.7974,3.059999865,83.19175815
Corporates,Organto Foods Inc,OGOCN,8,30/11/2026,200,5,162.2596919
Corporates,Ryvyl Inc,RVYL,8,05/11/2024,6.6667,149.99925,#N/A N/A
Corporates,Imperial Metals Corp,IIICN,8,30/08/2027,312.5,3.2,51.31254678
Corporates,Bonjour Holdings Ltd,BONJOU,8,09/04/2026,2631578.947,0.19,86.41134225
Corporates,Mosaic Brands Ltd,NBLAU,8,30/09/2024,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A N/A
Corporates,Canopy Growth Corp,WEEDCN,8,10/09/2025,4.0908,244.3654053,#N/A N/A
Corporates,TetraLogic Pharmaceuticals Corp,TLOG,8,15/06/2024,148.3019,6.743001944,#N/A N/A
Corporates,Corestate Capital Holding SA,CCAPGR,8,31/12/2026,1807.635089,12.39963648,#N/A N/A
Preferreds,Cano Petroleum Inc,CANO,7.875,#N/A Field Not Applicable,173.913,5.750001438,#N/A N/A
Corporates,NorthWest Healthcare Properties Real Estate Investment Trust,NWHUCN,7.75,30/04/2028,94.7867,10.55000332,40.77291704
Preferreds,Pyxis Tankers Inc,PXS,7.75,#N/A Field Not Applicable,4.464924,5.599199449,41.75704358
Preferreds,Midwest Banc Holdings Inc,MBHI,7.75,#N/A Field Not Applicable,1.6667,14.99970001,#N/A N/A
Preferreds,Algonquin Power & Utilities Corp,AQNCN,7.75,15/06/2024,2.7778,17.999856,51.14807136
Corporates,Redwood Trust Inc,RWT,7.75,15/06/2027,95.6823,10.45125378,27.07690226
Preferreds,Daseke Inc,DSKE,7.625,#N/A Field Not Applicable,8.69565,11.50000288,22.25976918
Corporates,Precinct Properties New Zealand Ltd,PCTNZ,7.56,21/09/2026,735.2941176,0.136,22.15974892
