Asset Class,Issuer Name,Ticker,Cpn,Maturity,Currency,Amt Out,Conversion Ratio,TRACE Price,Yld to Mty (Mid),YAS Bnch Px,CV Conversion Price
Corporates,Sea Ltd,SEALTD,0.25,15/09/2026,USD,2057784000,2.0964,82.125,7.662955209,100.9335938,477.0082045
Corporates,Bank of Chongqing Co Ltd,BOCHON,0.4,23/03/2028,CNY,2039959041,9.52381,#N/A Field Not Applicable,3.160537022,100.0358,10.49999948
Corporates,Lucid Group Inc,LCID,1.25,15/12/2026,USD,2012500000,18.2548,52.5,25.01361543,100.9335938,54.78011263
Preferreds,Texstar Holdings Inc,TSTH,8,#N/A Field Not Applicable,USD,2000000000,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A N/A,#N/A N/A,#N/A Field Not Applicable
Corporates,Airbnb Inc,ABNB,0,15/03/2026,USD,2000000000,3.4645,90.38089752,4.614971365,100.9335938,288.6419397
Preferreds,NextEra Energy Inc,NEE,6.926,01/09/2025,USD,2000000000,0.45,#N/A Field Not Applicable,25.51854081,101.0078125,111.1111111
Corporates,DISH Network Corp,DISH,0,15/12/2025,USD,1957000000,24.4123,61.75,26.07778353,101.0078125,40.9629572
Corporates,Palo Alto Networks Inc,PANW,0.375,01/06/2025,USD,1953150000,10.0806,300.3070068,-63.73445372,101.0078125,99.20044442
Corporates,Tongwei Co Ltd,TONWEI,0.4,24/02/2028,CNY,1893434420,2.816901,#N/A Field Not Applicable,1.575997325,100.0358,35.50000515
Corporates,Hengli Group Co Ltd,HENGRO,0.5,09/06/2024,CNY,1878744000,3.363606,#N/A Field Not Applicable,#N/A N/A,#N/A N/A,29.7299981
Preferreds,Plains All American Pipeline LP,PAA,9.375,#N/A Field Not Applicable,USD,1866124785,1,#N/A Field Not Applicable,#N/A N/A,#N/A N/A,26.25
Preferreds,Corgenix Medical Corp,CONX,0,#N/A Field Not Applicable,USD,1834000000,200000,#N/A Field Not Applicable,#N/A N/A,#N/A N/A,0.25
Corporates,Cellnex Telecom SA,CLNXSM,0.75,20/11/2031,EUR,1778145000,1098.241,#N/A Field Not Applicable,4.062674131,86.8115,91.05469565
Corporates,Wolfspeed Inc,WOLF,1.875,01/12/2029,USD,1750000000,8.4118,65.71250153,9.591968817,102.2304688,118.8806201
Corporates,Uber Technologies Inc,UBER,0.875,01/12/2028,USD,1725000000,13.7848,108.9914017,-0.905004689,102.2304688,72.54367129
Corporates,Rivian Automotive Inc,RIVN,3.625,15/10/2030,USD,1725000000,42.929,122.5434036,0.27627626,102.7890625,23.2942766
Corporates,Unity Software Inc,U,0,15/11/2026,USD,1725000000,3.2392,82.625,6.538069951,100.9335938,308.718202
Corporates,Duke Energy Corp,DUK,4.125,15/04/2026,USD,1725000000,8.4131,100.125,4.065233214,100.9335938,118.8622505
Corporates,Southern Co/The,SO,3.875,15/12/2025,USD,1725000000,11.8818,99.81289673,3.97415901,101.0078125,84.16233231
Corporates,SK Hynix Inc,HYUELE,1.75,11/04/2030,USD,1700000000,2367.8719,#N/A Field Not Applicable,-3.574466814,102.7890625,111180.0009
Corporates,Southwest Airlines Co,LUV,1.25,01/05/2025,USD,1611145000,26.4038,102.4065018,-0.531430868,101.0078125,37.87333641
Corporates,Western Digital Corp,WDC,3,15/11/2028,USD,1600000000,19.1589,123.1417999,-1.543943128,102.2304688,52.19506339
Corporates,Mitsubishi UFJ Investor Services & Banking Luxembourg SA,MUFJIN,8.215,30/12/2099,EUR,1596600000,0.147617996,#N/A Field Not Applicable,87.1717715,#N/A N/A,677424.1819
Preferreds,Visual Management Systems Inc,VMSY,0,#N/A Field Not Applicable,USD,1540000000,1000,#N/A Field Not Applicable,#N/A N/A,#N/A N/A,2.5
Corporates,Global Payments Inc,GPN,1,15/08/2029,USD,1500000000,7.1089,#N/A Field Not Applicable,#N/A N/A,#N/A N/A,140.6687392
Corporates,Spotify USA Inc,SPOT,0,15/03/2026,USD,1500000000,1.941,88.48999786,5.671410878,100.9335938,515.1983514
Corporates,Rivian Automotive Inc,RIVN,4.625,15/03/2029,USD,1500000000,49.6771,139.2355957,-2.391298091,102.2304688,20.12999954
Corporates,Meituan,MEITUA,0,27/04/2028,USD,1500000000,1801.989611,85.875,3.782289776,100.9335938,431.2400001
Corporates,Seagate HDD Cayman,STX,3.5,01/06/2028,USD,1500000000,12.1253,120.7341995,-1.061206733,102.2304688,82.47218626
Corporates,ON Semiconductor Corp,ON,0.5,01/03/2029,USD,1500000000,9.6277,106.25,-0.683757293,102.2304688,103.8669672
Corporates,DigitalOcean Holdings Inc,DOCN,0,01/12/2026,USD,1500000000,5.6018,82.5,6.679699905,100.9335938,178.5140491
Corporates,Snap Inc,SNAP,0.125,01/03/2028,USD,1500000000,17.7494,78.30000305,6.085530325,102.2304688,56.33993262
Corporates,FirstEnergy Corp,FE,4,01/05/2026,USD,1500000000,21.362,98.78070068,4.551889764,100.9335938,46.81209625
Corporates,China Three Gorges Corp,YANTZE,0.1,01/06/2027,CNY,1495620000,4.173623,#N/A Field Not Applicable,-1.198735389,100.0358,23.9599983
Corporates,Meituan,MEITUA,0,27/04/2027,USD,1483600000,1801.989611,90.69999695,2.673136266,101.0078125,431.2400001
Corporates,Muyuan Foods Co Ltd,MUYUAN,0.8,16/08/2027,CNY,1473980992,2.148228,#N/A Field Not Applicable,0.104533885,100.0358,46.54999376
Preferreds,China Huiyuan Juice Group Ltd,CHIHUI,0,#N/A Field Not Applicable,USD,1473513319,1,#N/A Field Not Applicable,#N/A N/A,#N/A N/A,23.84613
Corporates,Jinko Solar Co Ltd,JKS,0.2,20/04/2029,CNY,1454710000,7.29927,#N/A Field Not Applicable,2.011321042,100.5429,13.70000014
Preferreds,Apollo Global Management Inc,APO,6.75,31/07/2026,USD,1437500000,0.5052,#N/A Field Not Applicable,2.791893489,100.9335938,98.97070467
Preferreds,Clarivate PLC,CLVT,5.25,01/06/2024,USD,1437500000,3.2052,#N/A Field Not Applicable,316.2648792,5.21875,31.19930114
Corporates,Affirm Holdings Inc,AFRM,0,15/11/2026,USD,1425900000,4.6371,82.09999847,6.958745618,100.9335938,215.6520239
Corporates,Evergy Inc,EVRG,4.5,15/12/2027,USD,1400000000,16.1809,101.7238998,4.024524976,102.2304688,61.80125951
Corporates,Coinbase Global Inc,COIN,0.5,01/06/2026,USD,1373013000,2.6994,91.15789795,4.378558399,100.9335938,370.4526932
Corporates,Nippon Steel Corp,NIPSTL,0,04/10/2024,JPY,1352941500,4143.703642,#N/A Field Not Applicable,-31.14218182,100.0635,2413.3
Corporates,Nippon Steel Corp,NIPSTL,0,05/10/2026,JPY,1352941500,3954.444796,#N/A Field Not Applicable,-9.265616928,100.1275,2528.8
Corporates,Wingtech Technology Co Ltd,JOININ,0.3,28/07/2027,CNY,1324577655,1.03509,#N/A Field Not Applicable,2.248292647,100.0358,96.60995662
Corporates,ANA Holdings Inc,ANAIR,0,10/12/2031,JPY,1323433500,3468.609088,#N/A Field Not Applicable,-1.499481712,97.308,2883
Corporates,Trina Solar Co Ltd,TSL,0.3,13/02/2029,CNY,1300231843,1.444878,#N/A Field Not Applicable,3.702265672,100.65125,69.20999558
Corporates,Multiplan Corp,MPLN,6,15/10/2027,USD,1300000000,76.9231,70,17.44722926,102.2304688,12.9999961
Corporates,Cloudflare Inc,NET,0,15/08/2026,USD,1293750000,5.2263,90.42120361,4.022953669,100.9335938,191.3399537
Corporates,New Hope Liuhe Co Ltd,NEWHOP,0.8,02/11/2027,CNY,1272434047,6.94927,#N/A Field Not Applicable,2.248265138,100.0358,14.39000068
Corporates,Splunk Inc,SPLK,1.125,15/06/2027,USD,1265000000,3.9164,97.05000305,2.010171057,102.2304688,255.3365336
Corporates,DraftKings Holdings Inc,DKNG,0,15/03/2028,USD,1265000000,10.543,80.96900177,5.069601318,102.2304688,94.84966328
Corporates,Akamai Technologies Inc,AKAM,1.125,15/02/2029,USD,1265000000,7.917,108.9011002,-0.580697925,102.2304688,126.3104711
Corporates,Liberty Broadband Corp,LBRDA,3.125,31/03/2053,USD,1265000000,1.8901,98.88890076,3.183498069,100.9335938,529.0725358
Corporates,POSCO Holdings Inc,POHANG,0,01/09/2026,EUR,1262888979,301.322405,#N/A Field Not Applicable,-4.482635516,94.2995,451450.0009
Corporates,Dexcom Inc,DXCM,0.375,15/05/2028,USD,1250000000,6.1571,101.4094009,0.053136921,102.2304688,162.4141235
Corporates,JA Solar Technology Co Ltd,JASOLA,0.2,18/07/2029,CNY,1246943300,2.581311,#N/A Field Not Applicable,2.338380559,100.5429,38.74000459
Corporates,Nexi SpA,NEXIIM,0,24/02/2028,EUR,1214180000,4072.904999,#N/A Field Not Applicable,3.456443675,97.7015,24.5525
Corporates,Dexcom Inc,DXCM,0.25,15/11/2025,USD,1207500000,6.662,103.875,-1.764386684,101.0078125,150.1050736
Corporates,Zhejiang Huayou Cobalt Co Ltd,ABOEHY,0.4,24/02/2028,CNY,1200585737,1.231831,#N/A Field Not Applicable,2.437748987,100.0358,81.17996706
Corporates,SoFi Technologies Inc,SOFI,0,15/10/2026,USD,1200000000,44.615,84,6.424866023,100.9335938,22.41398633
Corporates,Abu Dhabi National Oil Co,ADNOUH,0.7,04/06/2024,USD,1195000000,146487.9514,#N/A Field Not Applicable,6.814666844,101.0078125,5.014064249
Corporates,BNP Paribas Fortis SA,FBAVP,5.92,#N/A Field Not Applicable,EUR,1193992425,1044.277344,#N/A Field Not Applicable,6.910053856,#N/A N/A,239.4000037
Corporates,Wens Foodstuffs Group Co Ltd,GWFOOD,1,29/03/2027,CNY,1177867836,5.868545,#N/A Field Not Applicable,-2.954485913,100.0358,17.03999884
Corporates,Deutsche Post AG,DHLGR,0.05,30/06/2025,EUR,1176300000,1837.4978,#N/A Field Not Applicable,1.326385429,101.2755,54.42183387
Corporates,Sany Group Co Ltd,SANYIG,1.5,14/09/2026,CNY,1174656000,3.571428571,#N/A Field Not Applicable,#N/A N/A,#N/A N/A,28
Corporates,Singapore Airlines Ltd,SIASP,0,08/06/2030,SGD,1153208988,0.224982,#N/A Field Not Applicable,6.72468054,3.6515,4.444800028
Corporates,Hypo-Wohnbaubank AG,HYPOBK,2,17/10/2035,EUR,1152750000,10,#N/A Field Not Applicable,1.999996976,105.403,10
Preferreds,Washington Mutual Capital Trust 2001,WAMU,5.375,03/05/2041,USD,1150000000,1.2714,#N/A Field Not Applicable,#N/A N/A,#N/A N/A,39.32672644
Corporates,Invitae Corp,NVTA,1.5,01/04/2028,USD,1150000000,23.15887,#N/A Field Not Applicable,#N/A N/A,#N/A N/A,43.17999972
Corporates,Beyond Meat Inc,BYND,0,15/03/2027,USD,1150000000,4.8544,17,58.52604727,102.2304688,205.9986816
Corporates,Royal Caribbean Cruises Ltd,RCL,6,15/08/2025,USD,1150000000,19.9577,259.3611145,-47.28030265,101.0078125,50.10597414
Corporates,Uber Technologies Inc,UBER,0,15/12/2025,USD,1150000000,12.3701,102.3349991,-1.170201773,101.0078125,80.84009022
Corporates,NCL Corp Ltd,NCLH,1.125,15/02/2027,USD,1150000000,29.685,92.71839905,3.603220013,102.2304688,33.68704733
Corporates,Guardant Health Inc,GH,0,15/11/2027,USD,1150000000,7.1523,70.50769806,9.204063752,102.2304688,139.8151644
Corporates,BILL Holdings Inc,BILL,0,01/12/2025,USD,1150000000,6.2159,94.24459839,3.098404837,101.0078125,160.877749
Corporates,BlackLine Inc,BL,0,15/03/2026,USD,1150000000,6.0156,87.94999695,5.877258639,100.9335938,166.2344571
Corporates,Akamai Technologies Inc,AKAM,0.125,01/05/2025,USD,1150000000,10.515,128.1941986,-17.54060459,101.0078125,95.1022349
Preferreds,Algonquin Power & Utilities Corp,AQNCN,7.75,15/06/2024,USD,1150000000,2.7778,#N/A Field Not Applicable,232.3475645,5.21,17.999856
Corporates,Snap Inc,SNAP,0,01/05/2027,USD,1150000000,11.2042,80.30000305,6.66892474,102.2304688,89.25224469
Corporates,Akamai Technologies Inc,AKAM,0.375,01/09/2027,USD,1150000000,8.6073,112.3651962,-2.793726266,102.2304688,116.1804515
Corporates,Sarepta Therapeutics Inc,SRPT,1.25,15/09/2027,USD,1150000000,7.0439,99.97509766,1.256773083,102.2304688,141.9668082
Corporates,Liberty Media Corp,LMCA,2.375,30/09/2053,USD,1150000000,9.532,106.5,2.081434901,102.2304688,104.9097776
Corporates,Zscaler Inc,ZS,0.125,01/07/2025,USD,1149993000,6.6315,151.9369049,-25.75582662,101.0078125,150.795446
Corporates,MongoDB Inc,MDB,0.25,15/01/2026,USD,1149972000,4.7349,194.5,-30.43275091,100.9335938,211.1977022
Corporates,Sea Ltd,SEALTD,2.375,01/12/2025,USD,1149500000,11.0549,94.76999664,5.262363169,101.0078125,90.45762513
Corporates,SDIC Capital Co Ltd,SDICCA,0.8,24/07/2026,CNY,1139940389,10.351967,#N/A Field Not Applicable,0.786323735,100.1409,9.659999882
Corporates,Carnival Corp,CCL,5.75,01/12/2027,USD,1131000000,74.6714,166.1000061,-8.176107599,102.2304688,13.39200819
Corporates,Hanwha Ocean Co Ltd,DWSMEC,1,28/06/2047,KRW,1126915981,0.24783,#N/A Field Not Applicable,#N/A N/A,#N/A N/A,40350.24008
Corporates,Qilu Bank Co Ltd,QILUBK,0.4,29/11/2028,CNY,1117322352,18.214936,#N/A Field Not Applicable,2.971326294,100.65125,5.490000075
Corporates,ANLLIAN Capital Ltd,ANTSPL,0,05/02/2025,EUR,1100120000,8668.270677,#N/A Field Not Applicable,1.137901441,97.053,99.74999734
Corporates,Confluent Inc,CFLT,0,15/01/2027,USD,1100000000,9.9936,83.55000305,5.980286989,102.2304688,100.064041
Corporates,LONGi Green Energy Technology Co Ltd,LONGI,0.4,05/01/2028,CNY,1099216289,1.710864,#N/A Field Not Applicable,2.548008733,100.0358,58.44999953
Corporates,Cellnex Telecom SA,CLNXSM,2.125,11/08/2030,EUR,1094650000,1602.0224,#N/A Field Not Applicable,3.619363961,103.2415,62.42109973
Corporates,Safran SA,SAFFP,0.875,15/05/2027,EUR,1080689840,1.019,#N/A Field Not Applicable,-10.7992376,97.7015,106.2119725
Corporates,Delivery Hero SE,DEHEHO,3.25,21/02/2030,EUR,1066050000,1731.60173,#N/A Field Not Applicable,6.302730597,102.2025,57.75000005
Corporates,Eni SpA,ENIIM,2.95,14/09/2030,EUR,1064860000,5697.583655,#N/A Field Not Applicable,2.12910851,103.2415,17.5513
Corporates,MicroStrategy Inc,MSTR,0,15/02/2027,USD,1050000000,0.6981,84.25,5.545104584,102.2304688,1432.459533
Corporates,Lumentum Holdings Inc,LITE,0.5,15/12/2026,USD,1050000000,10.0711,89.53469849,4.294645294,100.9335938,99.29401952
Preferreds,AES Corp/The,AES,6.875,15/02/2024,USD,1043050000,3.16031,#N/A Field Not Applicable,263.0004315,5.26,31.64246545
Corporates,Zheshang Securities Co Ltd,ZHSHSE,0.4,14/06/2028,CNY,1038290329,9.813543,#N/A Field Not Applicable,-2.747024028,100.65125,10.18999968
Corporates,American Water Capital Corp,AWK,3.625,15/06/2026,USD,1035000000,5.8213,99.8973999,3.709083505,100.9335938,171.7829351
Corporates,Welltower OP LLC,WELL,2.75,15/05/2028,USD,1035000000,10.4808,110.3980026,0.357053772,102.2304688,95.41256393
Corporates,Alnylam Pharmaceuticals Inc,ALNY,1,15/09/2027,USD,1035000000,3.4941,96.5,1.981287032,102.2304688,286.1967316
Corporates,International Consolidated Airlines Group SA,IAGLN,1.125,18/05/2028,EUR,1007886000,29678.87458,#N/A Field Not Applicable,3.767199465,102.2025,2.896912407
Corporates,Splunk Inc,SPLK,0.75,15/07/2026,USD,1000000000,6.25,#N/A Field Not Applicable,#N/A N/A,#N/A N/A,160
Corporates,Peloton Interactive Inc,PTON,0,15/02/2026,USD,1000000000,4.18,77.5,12.31217976,100.9335938,239.2344498
Corporates,Expedia Group Inc,EXPE,0,15/02/2026,USD,1000000000,3.9212,95,2.41888379,100.9335938,255.0239723
Corporates,American Airlines Group Inc,AAL,6.5,01/07/2025,USD,1000000000,61.7284,112.6230011,-1.710034117,101.0078125,16.1999987
Corporates,Poseidon Finance 1 Ltd,POSEDF,0,01/02/2025,USD,1000000000,1297.6929,#N/A Field Not Applicable,6.953902054,101.0078125,4.977138202
Corporates,ZTO Express Cayman Inc,ZTO,1.5,01/09/2027,USD,1000000000,32.0419,93,3.546508996,101.0078125,31.20913554
Corporates,LG Chem Ltd,LGCHM,1.25,18/07/2028,USD,1000000000,188.3636364,95.75,2.189603309,101.0078125,687500
Corporates,Teladoc Health Inc,TDOC,1.25,01/06/2027,USD,1000000000,4.1258,82.25,7.183491515,102.2304688,242.3772359
Corporates,Etsy Inc,ETSY,0.25,15/06/2028,USD,1000000000,4.0518,79,5.18785039,102.2304688,246.8038896
Corporates,Live Nation Entertainment Inc,LYV,3.125,15/01/2029,USD,1000000000,9.2259,112.0759964,0.687786231,102.2304688,108.3905093
Corporates,Jazz Investments I Ltd,JAZZ,2,15/06/2026,USD,1000000000,6.4182,100.0670013,1.971911026,100.9335938,155.8069241
Corporates,PPL Capital Funding Inc,PPL,2.875,15/03/2028,USD,1000000000,29.3432,97.23750305,3.760222503,102.2304688,34.079446
Corporates,LG Chem Ltd,LGCHM,1.6,18/07/2030,USD,1000000000,181.1188811,94.15000153,2.636737271,102.2304688,715000
Corporates,CenterPoint Energy Inc,CNP,4.25,15/08/2026,USD,1000000000,27.1278,100.1524963,4.18640106,100.9335938,36.86255428
Corporates,Motorola Solutions Inc,MSI,1.75,15/09/2024,USD,1000000000,4.967,#N/A Field Not Applicable,#N/A N/A,#N/A N/A,201.3287699
Corporates,Block Inc,SQ,0.125,01/03/2025,USD,999999000,8.2641,97.55000305,2.244383815,101.0078125,121.0053121
Preferreds,Paramount Global,PARA,5.75,01/04/2024,USD,999974800,1.0013,#N/A Field Not Applicable,1601.93216,5.26,99.87016878
Corporates,DISH Network Corp,DISH,2.375,15/03/2024,USD,995000000,12.163,98.75,8.191502565,101.0078125,82.21655841
Corporates,Delivery Hero SE,DEHEHO,1,23/01/2027,EUR,966962500,1020.4082,#N/A Field Not Applicable,9.045068333,94.2995,97.99999647
Preferreds,MPLX LP,MPLX,9.53846,#N/A Field Not Applicable,USD,962679315,1,#N/A Field Not Applicable,#N/A N/A,#N/A N/A,32.5
Corporates,Siemens Energy Finance BV,SIENFI,5.625,14/09/2025,EUR,959750400,6437.6992,#N/A Field Not Applicable,15.67134025,101.2755,15.53349992
Corporates,Cellnex Telecom SA,CLNXSM,0.5,05/07/2028,EUR,953581000,2125.8367,#N/A Field Not Applicable,0.857926644,102.2025,47.04030183
Corporates,Exact Sciences Corp,EXAS,0.375,01/03/2028,USD,949042000,8.2076,94.17420197,1.829820677,102.2304688,121.8382962
Corporates,Wayfair Inc,W,1,15/08/2026,USD,948739000,6.7349,89.68920135,5.242562964,100.9335938,148.4803041
Corporates,New Hope Group Co Ltd,NEWHOP,1.5,22/03/2026,CNY,944736000,6.920415,#N/A Field Not Applicable,0.59564048,99.9233,14.45000047
Corporates,Shopify Inc,SHOPCN,0.125,01/11/2025,USD,920000000,6.944,94,3.51294914,101.0078125,144.0092166
Corporates,Prysmian SpA,PRYIM,0,02/02/2026,EUR,901417500,2485.3674,#N/A Field Not Applicable,-4.528209966,101.2755,40.23549999
Corporates,Worldline SA/France,WLNFP,0,30/07/2026,EUR,892176001.8,1,#N/A Field Not Applicable,5.50611587,94.2995,103.2
Corporates,ams-OSRAM AG,AMSSW,2.125,03/11/2027,EUR,889929600,6963.691313,#N/A Field Not Applicable,8.552599109,97.7015,15.41452589
Corporates,Delivery Hero SE,DEHEHO,1,30/04/2026,EUR,886395000,546.09,#N/A Field Not Applicable,8.275049011,101.2755,183.1199985
Corporates,Safran SA,SAFFP,0,01/04/2028,EUR,884920436.2,1.003,#N/A Field Not Applicable,-0.823564813,102.2025,180.3489531
Corporates,China Southern Airlines Co Ltd,CHISOU,0.8,15/10/2026,CNY,876723523.4,16.207455,#N/A Field Not Applicable,-2.883842092,100.1409,6.170000164
Preferreds,Hsin Chong Group Holdings Ltd,HSINCG,0,#N/A Field Not Applicable,HKD,875033011.5,1,#N/A Field Not Applicable,#N/A N/A,#N/A N/A,1.2
Corporates,Cathay Pacific Finance III Ltd,CATHAY,2.75,05/02/2026,HKD,869385860,233372.2287,#N/A Field Not Applicable,0.132148943,101.1935,8.57
Corporates,Splunk Inc,SPLK,1.125,15/09/2025,USD,862500000,6.7433,110.0677032,-4.452230896,101.0078125,148.295345
Corporates,Li Auto Inc,LI,0.25,01/05/2028,USD,862500000,35.2818,132.8800049,-6.223470467,102.2304688,28.34322512
Corporates,Ventas Realty LP,VTR,3.75,01/06/2026,USD,862500000,18.246,105.4410019,1.460366029,100.9335938,54.80653294
Corporates,Booking Holdings Inc,BKNG,0.75,01/05/2025,USD,862446000,0.5301,186.5130005,-40.88309776,101.0078125,1886.436521
Corporates,Lumentum Holdings Inc,LITE,0.5,15/06/2028,USD,861000000,7.6319,78.59590149,6.03871764,102.2304688,131.0289705
Corporates,Jiangsu Changshu Rural Commercial Bank Co Ltd,CSRUBK,0.4,15/09/2028,CNY,857764976.4,12.771392,#N/A Field Not Applicable,0.925942731,100.65125,7.83000005
Corporates,Delivery Hero SE,DEHEHO,1.5,15/01/2028,EUR,855540000,671.2536,#N/A Field Not Applicable,9.254282358,97.7015,148.9749925
Corporates,Xiaomi Best Time International Ltd,XIAOMI,0,17/12/2027,USD,855000000,21102.06859,#N/A Field Not Applicable,2.859813367,101.0078125,36.74
Corporates,Sunac China Holdings Ltd,SUNAC,0,30/09/2028,USD,846063878,1.3,#N/A Field Not Applicable,33.43709402,102.2304688,6
Corporates,Snap Inc,SNAP,0.75,01/08/2026,USD,838482000,43.8481,107.6276016,-2.095396346,100.9335938,22.80600528
Corporates,Sunac China Holdings Ltd,SUNAC,1,30/09/2032,USD,836794133,0.39,#N/A Field Not Applicable,35.01189638,104.9140625,20
Corporates,Hanwha Ocean Co Ltd,DWSMEC,1,29/12/2046,KRW,828638000,2.47831,#N/A Field Not Applicable,#N/A N/A,#N/A N/A,40350.07727
Corporates,CenterPoint Energy Inc,CNP,3.36916,15/09/2029,USD,827798497.3,1,37.5,11.87573406,102.2304688,58.25
Preferreds,PSINet Inc,PSIINC,7,#N/A Field Not Applicable,USD,825000000,0.9352,#N/A Field Not Applicable,#N/A N/A,#N/A N/A,53.46449957
Corporates,Bank of Chengdu Co Ltd,CHEDUB,0.4,03/03/2028,CNY,822203886.1,7.616146,#N/A Field Not Applicable,0.431792298,100.65125,13.1300004
Corporates,Amadeus IT Group SA,AMSSM,1.5,09/04/2025,EUR,820200000,1852.11595,#N/A Field Not Applicable,-14.49988845,97.053,53.9923
Corporates,Simon Global Development BV,SPG,3.5,14/11/2026,EUR,815475000,3675.227497,#N/A Field Not Applicable,1.813616195,94.2995,27.2092
Corporates,Wendel SE,MWDP,2.625,27/03/2026,EUR,809332500,3096.5984,#N/A Field Not Applicable,3.852909842,101.2755,32.29349986
Corporates,Halozyme Therapeutics Inc,HALO,0.25,01/03/2027,USD,805000000,12.9576,86.16410065,5.014194515,102.2304688,77.17478545
Corporates,ON Semiconductor Corp,ON,0,01/05/2027,USD,804905000,18.8796,163,-14.36672554,102.2304688,52.96722388
Corporates,CONMED Corp,CNMD,2.25,15/06/2027,USD,800000000,6.881,101.321701,1.854403804,102.2304688,145.327714
Corporates,Insulet Corp,PODD,0.375,01/09/2026,USD,800000000,4.4105,114.689003,-4.707162621,100.9335938,226.7316631
Corporates,CMS Energy Corp,CMS,3.375,01/05/2028,USD,800000000,13.5194,98.66010284,3.710983255,102.2304688,73.96777964
Corporates,Taiwan Cement Corp,TAICEM,0,07/12/2026,USD,800000000,53716.6086,#N/A Field Not Applicable,-0.118987868,100.9335938,51.66
Corporates,Bengang Steel Plates Co Ltd,BENGAN,2.9,29/06/2026,CNY,795219701.8,25.3164557,#N/A Field Not Applicable,2.361125336,100.1409,3.95
Corporates,Citic Pacific Special Steel Group Co Ltd,CITSTE,0.4,25/02/2028,CNY,791429076.2,4.255319149,#N/A Field Not Applicable,1.773696352,100.0358,23.5
Corporates,Changjiang Securities Co Ltd,CHGJZ,2,12/03/2024,CNY,789181774.9,14.90313,#N/A Field Not Applicable,2.786706339,99.453,6.709999846
Corporates,Ocado Group PLC,OCDOLN,0.875,09/12/2025,GBP,788892000,5576.996007,#N/A Field Not Applicable,5.909209872,99.074,17.9308
Corporates,Veolia Environnement SA,VIEFP,0,01/01/2025,EUR,774752971.9,1.031,#N/A Field Not Applicable,-3.440133696,97.053,29.49563531
Corporates,Schneider Electric SE,SUFP,0,15/06/2026,EUR,771725523.4,1.007,#N/A Field Not Applicable,-3.941268288,94.2995,175.2135055
Corporates,Jiangsu Eastern Shenghong Co Ltd,WUJIAN,0.6,22/03/2027,CNY,767964805.7,7.513148,#N/A Field Not Applicable,1.620863551,100.1409,13.31000002
